(27, 26, 21) -0.1 (27, 26, 22) prev_q:-31.20, next_step_max_q:-31.38, new_q:-31.34
(27, 26, 22) -0.1 (26, 26, 22) prev_q:-31.38, next_step_max_q:-29.65, new_q:-30.57
(26, 26, 22) -0.1 (26, 26, 21) prev_q:-29.75, next_step_max_q:-29.77, new_q:-29.81
(26, 26, 21) -0.1 (26, 25, 22) prev_q:-29.77, next_step_max_q:-30.90, new_q:-30.39
(26, 25, 22) -0.1 (26, 25, 22) prev_q:-30.90, next_step_max_q:-30.90, new_q:-30.95
(26, 25, 22) -0.1 (25, 25, 22) prev_q:-30.95, next_step_max_q:-29.12, new_q:-30.08
(25, 25, 22) -1.1 (25, 25, 22) prev_q:-29.12, next_step_max_q:-29.12, new_q:-29.67
(25, 25, 22) -1.1 (25, 24, 21) prev_q:-29.67, next_step_max_q:-30.24, new_q:-30.50
(25, 24, 21) -1.1 (24, 24, 21) prev_q:-30.24, next_step_max_q:-28.81, new_q:-30.07
(24, 24, 21) -1.1 (24, 24, 21) prev_q:-28.81, next_step_max_q:-28.81, new_q:-29.36
(24, 24, 21) -1.1 (24, 24, 20) prev_q:-28.91, next_step_max_q:-29.58, new_q:-29.79
(24, 24, 20) -1.1 (24, 24, 21) prev_q:-29.58, next_step_max_q:-28.91, new_q:-29.79
(24, 24, 21) -1.1 (24, 24, 23) prev_q:-28.91, next_step_max_q:-29.05, new_q:-29.53
(24, 24, 23) -1.1 (24, 24, 23) prev_q:-29.15, next_step_max_q:-29.05, new_q:-29.65
(24, 24, 23) -1.1 (24, 23, 23) prev_q:-29.05, next_step_max_q:-27.69, new_q:-28.92
(24, 23, 23) -1.1 (24, 23, 22) prev_q:-27.69, next_step_max_q:-26.45, new_q:-27.62
(24, 23, 22) -1.1 (23, 23, 22) prev_q:-26.45, next_step_max_q:-24.56, new_q:-26.05
(23, 23, 22) -1.1 (23, 23, 22) prev_q:-24.56, next_step_max_q:-24.56, new_q:-25.11
(23, 23, 22) -1.1 (23, 22, 22) prev_q:-25.11, next_step_max_q:-23.20, new_q:-24.71
(23, 22, 22) -1.1 (22, 22, 22) prev_q:-23.20, next_step_max_q:-21.24, new_q:-22.77
(22, 22, 22) -1.1 (22, 21, 22) prev_q:-21.24, next_step_max_q:-19.93, new_q:-21.14
(22, 21, 22) -1.1 (22, 21, 22) prev_q:-19.93, next_step_max_q:-19.93, new_q:-20.48
(22, 21, 22) -1.1 (21, 20, 23) prev_q:-20.48, next_step_max_q:-17.77, new_q:-19.68
(21, 20, 23) -1.1 (22, 21, 21) prev_q:-17.77, next_step_max_q:-20.40, new_q:-19.64
(22, 21, 21) -1.1 (21, 20, 21) prev_q:-20.40, next_step_max_q:-16.93, new_q:-19.22
